-2.802533470094203949e-02,-9.145762771368026733e-03,7.119985818862915039e-01,9.979906082153320312e-01,9.848542511463165283e-03,6.231475621461868286e-02,-5.881562363356351852e-03,1.984961628913879395e-01,3.141925632953643799e-01,2.026857882738113403e-01,8.588159084320068359e-01,-2.833122946321964264e-02,-1.158187910914421082e-01,-7.391854524612426758e-01,-3.470582067966461182e-01,-2.517979145050048828e-01,8.513599634170532227e-01,-2.484720945358276367e-01,1.086513549089431763e-01,-2.138410359621047974e-01,8.265101909637451172e-02,2.716147601604461670e-01,1.708316653966903687e-01,7.771083116531372070e-01,-3.976511955261230469e-01,7.317895889282226562e-01,2.798036336898803711e-01,1.640383154153823853e-01,2.182406559586524963e-02,6.030833348631858826e-02,-6.548437476158142090e-01,5.584134459495544434e-01,1.056623816490173340e+00,-2.805538475513458252e-01,1.526437047868967056e-02,6.390567868947982788e-02
1.899982616305351257e-02,-1.476258598268032074e-02,7.247425913810729980e-01,9.983501434326171875e-01,6.492454092949628830e-03,5.593087524175643921e-02,-1.124913804233074188e-02,7.857294380664825439e-02,3.740059733390808105e-01,2.879468202590942383e-01,1.132627487182617188e+00,-1.102741137146949768e-01,-5.117864906787872314e-02,-6.233843564987182617e-01,-3.420020043849945068e-01,-2.875579297542572021e-01,8.451071977615356445e-01,-3.257086277008056641e-01,1.085322052240371704e-01,-1.436385214328765869e-01,1.023777201771736145e-01,2.807232737541198730e-01,2.643040120601654053e-01,6.597397923469543457e-01,-4.202960729598999023e-01,7.652580142021179199e-01,2.491769045591354370e-01,1.193192154169082642e-01,-1.043389178812503815e-02,-8.854436129331588745e-02,-6.586179733276367188e-01,5.439686179161071777e-01,9.963768720626831055e-01,-2.390823811292648315e-01,2.749253250658512115e-02,9.715335816144943237e-02
7.507299631834030151e-02,-2.079017646610736847e-02,7.464867830276489258e-01,9.981557130813598633e-01,3.962412010878324509e-03,5.805292353034019470e-02,-1.730274222791194916e-02,-7.428734749555587769e-02,3.958812654018402100e-01,3.555386066436767578e-01,1.259045839309692383e+00,-1.808888167142868042e-01,-1.983161270618438721e-02,-4.791856706142425537e-01,-3.064516782760620117e-01,-3.173687160015106201e-01,7.201448082923889160e-01,-3.417728543281555176e-01,1.247512772679328918e-01,-5.127549916505813599e-02,1.222426593303680420e-01,2.592459022998809814e-01,3.348031938076019287e-01,5.432825088500976562e-01,-4.524914026260375977e-01,8.441950082778930664e-01,2.211756855249404907e-01,7.918311655521392822e-02,-4.045360162854194641e-02,-2.305135130882263184e-01,-6.617836952209472656e-01,5.150240659713745117e-01,9.672313332557678223e-01,-2.136335074901580811e-01,3.287865594029426575e-02,1.103528887033462524e-01
1.270680129528045654e-01,-2.634704113006591797e-02,7.676126360893249512e-01,9.980980753898620605e-01,1.501194015145301819e-02,5.749342218041419983e-02,-1.641302928328514099e-02,-2.278577685356140137e-01,3.414779305458068848e-01,3.928846120834350586e-01,1.225816488265991211e+00,-1.944640874862670898e-01,-3.071817196905612946e-02,-3.067052364349365234e-01,-2.925269305706024170e-01,-3.328456878662109375e-01,5.382701754570007324e-01,-3.209202587604522705e-01,1.583671718835830688e-01,3.768114745616912842e-02,9.476294368505477905e-02,2.304994314908981323e-01,4.052827060222625732e-01,4.562387466430664062e-01,-4.524450898170471191e-01,9.168760180473327637e-01,1.867831200361251831e-01,5.995171517133712769e-02,-4.765703529119491577e-02,-3.429066538810729980e-01,-6.534571051597595215e-01,5.079025030136108398e-01,9.666561484336853027e-01,-2.160641998052597046e-01,3.817106783390045166e-02,1.249255761504173279e-01
1.795246154069900513e-01,-3.288054466247558594e-02,7.818377017974853516e-01,9.977911710739135742e-01,2.850579842925071716e-02,5.899816751480102539e-02,-1.092852558940649033e-02,-3.649604022502899170e-01,2.654908001422882080e-01,4.089978337287902832e-01,1.068034172058105469e+00,-1.825834363698959351e-01,-8.245332539081573486e-02,-1.288465857505798340e-01,-2.836424112319946289e-01,-3.610568046569824219e-01,3.352294564247131348e-01,-2.679763734340667725e-01,2.015537172555923462e-01,1.186147108674049377e-01,4.527071118354797363e-02,1.981295347213745117e-01,4.854584336280822754e-01,4.075568616390228271e-01,-4.153208434581756592e-01,9.725931882858276367e-01,1.533404439687728882e-01,5.160357430577278137e-02,-5.566797032952308655e-02,-4.300988912582397461e-01,-6.568414568901062012e-01,5.204455256462097168e-01,9.452195763587951660e-01,-2.274238318204879761e-01,4.884887114167213440e-02,1.597741544246673584e-01
2.372817099094390869e-01,-4.018219560384750366e-02,7.861353158950805664e-01,9.976871013641357422e-01,2.970451675355434418e-02,6.063851714134216309e-02,-7.818075828254222870e-03,-4.588051736354827881e-01,2.423425763845443726e-01,4.292312264442443848e-01,8.322517275810241699e-01,-1.705190390348434448e-01,-1.398818194866180420e-01,2.739067189395427704e-02,-2.480336427688598633e-01,-3.783857524394989014e-01,1.755543500185012817e-01,-2.055752426385879517e-01,2.380571365356445312e-01,1.918892264366149902e-01,1.184556167572736740e-02,1.730848550796508789e-01,5.815130472183227539e-01,3.837076127529144287e-01,-3.536317646503448486e-01,1.005104064941406250e+00,1.194064393639564514e-01,5.398222059011459351e-02,-5.364143848419189453e-02,-5.147755742073059082e-01,-6.890568137168884277e-01,5.516544580459594727e-01,8.972351551055908203e-01,-2.158788740634918213e-01,6.178249791264533997e-02,2.046189606189727783e-01
2.971745133399963379e-01,-4.576030001044273376e-02,7.809351086616516113e-01,9.979670047760009766e-01,1.851942390203475952e-02,5.950779095292091370e-02,-1.332761812955141068e-02,-5.007259249687194824e-01,2.579845190048217773e-01,4.489670395851135254e-01,5.244046449661254883e-01,-1.566182672977447510e-01,-1.814364790916442871e-01,1.395242214202880859e-01,-2.016703039407730103e-01,-3.545649051666259766e-01,1.169615611433982849e-01,-1.863464415073394775e-01,2.560778856277465820e-01,2.582298815250396729e-01,2.275156090036034584e-03,1.537231057882308960e-01,6.787545680999755859e-01,3.734215497970581055e-01,-2.941216230392456055e-01,1.023242115974426270e+00,8.095828443765640259e-02,5.540223419666290283e-02,-3.492790460586547852e-02,-6.076698303222656250e-01,-7.398193478584289551e-01,6.077715158462524414e-01,8.458424210548400879e-01,-1.496642678976058960e-01,7.418969273567199707e-02,2.356888055801391602e-01
3.556208610534667969e-01,-4.829709604382514954e-02,7.672205567359924316e-01,9.981619119644165039e-01,6.745709106326103210e-04,5.149291828274726868e-02,-3.195162490010261536e-02,-4.939957261085510254e-01,2.798664867877960205e-01,4.437116086483001709e-01,1.977494060993194580e-01,-1.589683741331100464e-01,-2.269472181797027588e-01,2.423612922430038452e-01,-1.607794165611267090e-01,-3.040858209133148193e-01,1.026035398244857788e-01,-1.980278044939041138e-01,2.583226561546325684e-01,3.253479301929473877e-01,9.448979981243610382e-03,1.419595330953598022e-01,7.606363296508789062e-01,3.627213239669799805e-01,-2.347725480794906616e-01,1.048383474349975586e+00,3.805026412010192871e-02,5.814944580197334290e-02,-5.898912437260150909e-03,-6.902737021446228027e-01,-7.885987758636474609e-01,6.741355657577514648e-01,8.208935856819152832e-01,-5.865566059947013855e-02,8.989174664020538330e-02,2.468919903039932251e-01
4.152059555053710938e-01,-4.622235894203186035e-02,7.491723895072937012e-01,9.973112344741821289e-01,-1.497082132846117020e-02,4.248010367155075073e-02,-5.780605599284172058e-02,-5.371388792991638184e-01,3.430712223052978516e-01,4.262337684631347656e-01,1.242854148149490356e-01,-2.002589255571365356e-01,-2.388257235288619995e-01,3.417112231254577637e-01,-1.458632498979568481e-01,-2.437074333429336548e-01,1.004404500126838684e-01,-1.936122179031372070e-01,2.567230761051177979e-01,3.812596797943115234e-01,1.392750442028045654e-02,1.315043717622756958e-01,8.193659782409667969e-01,3.451938927173614502e-01,-1.775087267160415649e-01,1.074967026710510254e+00,-7.478427607566118240e-03,6.609287858009338379e-02,4.000329412519931793e-03,-7.381526231765747070e-01,-8.168182969093322754e-01,7.219455838203430176e-01,8.272687196731567383e-01,6.039693951606750488e-03,1.041605174541473389e-01,2.558516561985015869e-01
4.739087820053100586e-01,-4.127343371510505676e-02,7.335368394851684570e-01,9.966347217559814453e-01,-1.488997228443622589e-02,4.425670206546783447e-02,-6.737072765827178955e-02,-5.728604197502136230e-01,3.547611236572265625e-01,4.319703876972198486e-01,1.759372055530548096e-01,-2.139314264059066772e-01,-2.086628675460815430e-01,4.114775061607360840e-01,-1.713370084762573242e-01,-2.099763303995132446e-01,1.142496243119239807e-01,-1.539141833782196045e-01,2.560026943683624268e-01,4.013590216636657715e-01,-1.257167290896177292e-02,1.178268268704414368e-01,8.117688298225402832e-01,3.219065070152282715e-01,-1.151542663574218750e-01,1.124990224838256836e+00,-4.157393053174018860e-02,7.575754821300506592e-02,1.279022917151451111e-02,-7.104703187942504883e-01,-8.255786299705505371e-01,7.133322954177856445e-01,8.428708910942077637e-01,5.120423436164855957e-02,1.115037649869918823e-01,2.526814639568328857e-01
